model_id,price,fuelconsump,power,import,segment_num,makeorigin
1,0.560914112,0.197174254,0.512422161,1,3,C
5,0.707819327,0.508529566,0.758047708,1,6,C
6,0.773273321,0.44751439,0.752106491,1,7,C
7,0.814279607,0.788173731,0.837004465,1,7,C
8,0.89216589,0.709157509,0.890697717,1,9,C
10,0.601668502,0.39884877,0.683598788,0,6,C
14,0.680393697,0.464887493,0.705196516,0,7,C
15,0.612395697,0.467922554,0.657090931,0,11,C
16,0.677544833,0.554055468,0.750890271,0,11,C
17,0.666427664,0.483202512,0.663124385,1,11,C
18,0.769592646,0.641130298,0.843010037,1,11,C
19,0.836995404,0.83118786,0.861779415,1,13,C
22,0.725949161,0.416117216,0.782914393,1,17,C
25,0.397338149,0.60303506,0.512422161,0,10,A
26,0.240245394,0.098691784,0.459687776,0,2,A
32,0.386652753,0.38859236,0.584092126,0,12,A
33,0.250705488,0.175196232,0.449672498,0,10,A
36,0.247871831,0.196336996,0.449672498,0,2,A
37,0.249222639,0.156985871,0.449672498,0,4,A
38,0.295543045,0.22700157,0.547553951,0,4,A
39,0.64352732,0.33762428,0.607475514,1,3,C
40,0.58129473,0.322867609,0.628533234,1,3,C
44,0.779336025,0.633804291,0.790130488,1,6,C
45,0.697232994,0.346310832,0.736960774,1,6,C
46,0.71529025,0.447095761,0.762127572,1,6,C
48,0.746299689,0.464364207,0.791716476,1,7,C
49,0.820038074,0.640083726,0.882471858,1,7,C
50,0.930447288,0.639141811,0.943801647,1,17,C
51,0.885122516,0.667817896,0.879650925,1,9,C
54,0.633146304,0.414128728,0.702363683,0,6,C
57,0.697470849,0.50455259,0.763887417,0,7,C
59,0.597832163,0.471271586,0.620229452,0,11,C
63,0.727001326,0.535845107,0.743502372,1,11,C
65,0.863285411,0.777603349,0.917293943,1,13,C
67,0.893563279,0.801779173,0.920317607,1,13,C
70,0.755625736,0.538461538,0.718991681,1,17,C
73,0.333167457,0.214756672,0.530663111,0,5,A
74,0.385594105,0.527786499,0.463571645,0,14,A
75,0.330314177,0.194871795,0.428086358,0,5,A
76,0.321440023,0.28100471,0.507742867,0,5,A
77,0.37651452,0.294505495,0.532836693,0,10,A
95,0.206706238,0.152171638,0.458020446,0,4,A
97,0.253862558,0.188069074,0.458020446,0,4,A
99,0.323900073,0.288435374,0.594412853,0,5,A
100,0.253518065,0.179173208,0.459893693,0,4,A
102,0.355990669,0.425327054,0.585507837,0,12,A
114,0.124850381,0,0.257458441,0,1,A
118,0.217304881,0.129774987,0.392794498,0,2,A
120,0.27817851,0.190999477,0.519675243,0,4,A
122,0.220522919,0.105599163,0.414610349,0,2,A
125,0.299317515,0.211721612,0.527741226,0,4,A
128,0.255475611,0.198953428,0.463453214,0,4,A
131,0.201151473,0.133019362,0.458020446,0,2,A
132,0.169311575,0.283516484,0.458020446,0,15,A
133,0.121735592,0.071899529,0.294228816,0,1,A
134,0.189208525,0.156148613,0.458020446,0,2,A
139,0.108333095,0.001465201,0.25174167,0,1,A
140,0.278912696,0.223757195,0.526811335,0,4,A
142,0.217803683,0.128309785,0.419148113,0,1,A
144,0.329934107,0.317216117,0.543441593,0,10,A
147,0.65213757,0.628257457,0.85736328,1,8,B
149,0.696526929,0.749764521,0.882035988,1,14,B
150,0.535989573,0.47566719,0.601536793,1,10,C
157,0.378633795,0.279434851,0.464770505,0,4,C
162,0.451395383,0.318576661,0.568837637,0,4,C
163,0.487236102,0.478911565,0.61056758,0,5,C
167,0.34024296,0.223443223,0.503983595,0,4,A
169,0.287217229,0.213919414,0.449672498,0,4,A
170,0.306555106,0.18021978,0.427125246,0,4,A
171,0.273563368,0.218001047,0.504426866,0,14,A
177,0.279041112,0.308948195,0.444829947,0,4,A
178,0.535870303,0.683621141,0.678197071,0,12,A
188,0.152597073,0.156567242,0.350947521,0,2,A
190,0.215319658,0.15133438,0.4232732,0,2,A
191,0.238616667,0.205756149,0.45201327,0,4,A
192,0.362691973,0.380533752,0.574742968,0,10,A
193,0.293343814,0.185138671,0.441164003,0,2,A
197,0.218837915,0.174777603,0.408113464,0,2,A
198,0.284080732,0.208686552,0.501314596,0,4,A
199,0.270129785,0.113343799,0.46154989,0,4,A
200,0.220338673,0.079120879,0.416885049,0,2,A
