rspd_id,model_id,purchase
6832,707,1
6842,102,1
6842,415,0
6915,102,1
6982,208,1
6982,102,0
7183,309,1
7195,440,1
7195,707,0
7196,190,1
7196,707,0
7283,272,1
7283,102,0
7283,32,0
7323,637,1
7323,707,0
7326,637,1
7326,707,0
7398,637,1
7398,324,0
7398,707,0
7407,102,1
7407,427,0
7480,324,1
7480,707,0
7480,481,0
7481,707,1
7481,324,0
7867,707,1
7887,707,1
7887,598,0
7892,32,1
7892,102,0
7911,488,1
7911,12,0
7948,178,1
7948,324,0
7952,583,1
7952,32,0
7952,102,0
7956,178,1
7956,333,0
7956,324,0
7981,178,1
7981,324,0
8019,273,1
8019,707,0
8019,190,0
8031,309,1
8031,354,0
8031,707,0
8037,272,1
8037,102,0
8043,309,1
8123,216,1
8123,699,0
8123,440,0
8145,272,1
8145,102,0
8146,272,1
8146,32,0
8146,102,0
8195,216,1
8195,231,0
8195,354,0
8388,216,1
8388,231,0
8486,102,1
8523,707,1
8523,440,0
8576,309,1
8576,59,0
8578,771,1
8578,231,0
8605,178,1
8606,178,1
8647,16,1
8647,707,0
8731,707,1
8741,707,1
8762,779,1
8762,178,0
8762,354,0
8765,309,1
8765,401,0
8965,707,1
8965,324,0
9001,707,1
9001,324,0
9001,583,0
9003,707,1
9003,354,0
9003,16,0
9051,102,1
9051,32,0
9052,102,1
9052,144,0
9064,707,1
9064,699,0
9064,16,0
9066,707,1
9066,697,0
9066,406,0
9127,707,1
9127,583,0
9132,707,1
9132,324,0
9279,697,1
9279,291,0
9291,16,1
9291,707,0
9295,16,1
9295,707,0
9331,707,1
9331,770,0
9343,178,1
9343,324,0
9345,705,1
9345,291,0
9379,102,1
9379,32,0
9386,102,1
9386,77,0
9386,32,0
9387,706,1
9387,33,0
9387,102,0
9389,102,1
9389,32,0
9398,802,1
9398,102,0
9398,32,0
9459,16,1
9459,291,0
9460,16,1
9460,707,0
9491,707,1
9491,324,0
9513,102,1
9513,16,0
9578,666,1
9578,444,0
9579,309,1
9579,351,0
9581,309,1
9587,312,1
9587,707,0
9651,186,1
9651,673,0
9651,707,0
9683,309,1
9683,340,0
9705,672,1
9705,707,0
9748,309,1
9778,401,1
9778,309,0
9817,309,1
9833,779,1
9833,707,0
9833,699,0
9872,309,1
9878,309,1
9944,216,1
9975,216,1
9975,324,0
9981,54,1
9981,707,0
9982,54,1
9982,498,0
9982,707,0
9987,216,1
9987,707,0
9987,354,0
10005,216,1
10047,102,1
10047,32,0
10051,372,1
10051,102,0
10060,205,1
10060,102,0
10081,691,1
10081,693,0
10081,487,0
10083,707,1
10083,450,0
10096,565,1
10096,291,0
10097,565,1
10097,291,0
10100,565,1
